id,ts,duration,trp0,trp1,trp2,trp3,trp4,trp5,trp6,trp7,grp
1,1548993600,324,130.77,0,0,0,97.96,155.88,41.14,0,0
2,1548995400,324,73.54,0,0,90.51,171.86,80.38,8.65,156.00,0
3,1548997200,324,76.50,0,0,85.00,174.00,184.49,0,0,0
4,1548999000,324,44.78,0,0,4.24,192.60,63.45,0,0,0
5,1549000800,324,0,0,0,0,28.53,75.00,0,0,0
6,1549002600,324,0,0,2.00,0,151.47,5.95,0,182.00,78.50
7,1549004400,324,0,0,55.43,0,26.70,22.22,0,0,50.23
8,1549006200,324,0,0,140.00,0,26.87,67.44,0,0,126.00
9,1549008000,324,0,0,173.21,0,59.37,103.92,0,0,122.98
10,1549009800,324,0,17.60,67.00,93.34,59.93,16.66,0,181.00,86.50
11,1549011600,324,0,51.62,0,97.00,5.87,126.57,0,0,0
12,1549013400,324,0,179.23,0,36.77,15.02,64.53,0,0,0
13,1549015200,324,0,42.00,0,0,0,78.50,0,0,0
14,1549017000,324,0,178.31,0,0,0,49.37,36.46,193.00,0
15,1549018800,324,0,30.41,0,0,0,30.80,75.82,0,0
16,1549020600,324,0,32.91,0,0,0,16.84,83.33,0,0
17,1549022400,324,0,0,0,0,0,0,166.43,0,0
18,1549024200,324,42.71,0,31.00,30.41,0,0,57.00,109.00,57.50
19,1549026000,324,52.00,0,155.02,96.00,0,0,132.20,0,159.35
20,1549027800,324,3.54,0,72.00,98.29,0,0,59.06,0,83.00
21,1549029600,324,93.53,0,59.76,0,0,0,27.63,0,9.53
22,1549031400,324,2.90,0,18.50,0,0,0,61.80,161.00,53.00
23,1549033200,324,147.00,0,0,0,0,0,0,0,0
24,1549035000,324,18.35,0,0,0,0,0,0,0,0
25,1549036800,324,22.52,0,0,0,0,0,0,0,0
26,1549038600,324,68.59,17.99,0,137.89,0,0,0,170.00,0
27,1549040400,324,68.00,47.38,0,88.00,0,0,0,0,0
28,1549042200,324,50.21,105.32,0,29.70,0,0,0,0,0
29,1549044000,324,0,113.00,0,0,0,0,0,0,0
30,1549045800,324,0,120.10,99.50,0,0,0,0,56.00,8.50
31,1549047600,324,0,74.25,148.09,0,0,0,0,0,39.84
32,1549049400,324,0,66.59,29.00,0,0,0,0,0,81.00
33,1549051200,324,0,0,43.30,0,0,0,0,0,129.04
34,1549053000,324,0,0,35.00,17.68,26.28,0,26.58,113.00,40.00
35,1549054800,324,0,0,0,167.00,22.25,0,84.05,0,0
36,1549056600,324,0,0,0,86.27,62.65,0,120.54,0,0
37,1549058400,324,0,0,0,0,63.48,0,71.33,0,0
38,1549060200,324,0,0,0,0,16.97,0,124.00,84.00,0
39,1549062000,324,0,0,0,0,105.17,0,66.57,0,0
40,1549063800,324,0,0,0,0,73.95,0,122.16,0,0
41,1549080000,324,59.76,0,0,0,35.19,166.28,108.15,0,0
42,1549081800,324,131.52,0,0,112.43,71.11,59.13,29.05,148.00,0
43,1549083600,324,16.00,0,0,70.00,171.00,124.60,0,0,0
44,1549085400,324,18.89,0,0,15.56,41.48,115.01,0,0,0
45,1549087200,324,0,0,0,0,117.93,96.00,0,0,0
46,1549089000,324,0,0,45.50,0,57.02,81.30,0,149.00,37.00
47,1549090800,324,0,0,19.92,0,148.86,49.26,0,0,104.79
48,1549092600,324,0,0,109.00,0,72.12,152.44,0,0,139.00
49,1549094400,324,0,0,48.50,0,107.56,106.52,0,0,105.66
50,1549096200,324,0,4.97,25.00,79.20,66.28,109.48,0,125.00,2.00
51,1549098000,324,0,4.24,0,87.00,5.87,46.67,0,0,0
52,1549099800,324,0,168.15,0,69.30,20.18,56.01,0,0,0
53,1549101600,324,0,24.00,0,0,0,85.00,0,0,0
54,1549103400,324,0,169.99,0,0,0,30.61,32.76,9.00,0
55,1549105200,324,0,100.41,0,0,0,15.27,31.74,0,0
56,1549107000,324,0,36.74,0,0,0,14.62,60.68,0,0
57,1549108800,324,0,0,0,0,0,0,13.31,0,0
58,1549110600,324,42.45,0,12.00,136.47,0,0,14.00,143.00,42.50
59,1549112400,324,86.50,0,18.19,138.00,0,0,128.39,0,123.84
60,1549114200,324,109.60,0,123.00,24.75,0,0,97.08,0,170.00
61,1549116000,324,167.14,0,84.87,0,0,0,28.80,0,23.38
62,1549117800,324,170.97,0,79.50,0,0,0,5.87,9.00,26.00
63,1549119600,324,194.00,0,0,0,0,0,0,0,0
64,1549121400,324,138.13,0,0,0,0,0,0,0,0
65,1549123200,324,8.66,0,0,0,0,0,0,0,0
66,1549125000,324,68.59,19.52,0,92.63,0,0,0,61.00,0
67,1549126800,324,51.00,135.06,0,30.00,0,0,0,0,0
68,1549128600,324,19.93,155.21,0,6.36,0,0,0,0,0
69,1549130400,324,0,100.00,0,0,0,0,0,0,0
70,1549132200,324,0,71.14,66.00,0,0,0,0,195.00,25.00
71,1549134000,324,0,13.44,6.06,0,0,0,0,0,31.18
72,1549135800,324,0,21.05,197.00,0,0,0,0,0,138.00
73,1549137600,324,0,0,9.53,0,0,0,0,0,71.01
74,1549139400,324,0,0,26.00,122.33,12.05,0,24.72,111.00,57.50
75,1549141200,324,0,0,0,28.00,0.93,0,15.28,0,0
76,1549143000,324,0,0,0,43.84,26.33,0,129.44,0,0
77,1549144800,324,0,0,0,0,77.59,0,102.71,0,0
78,1549146600,324,0,0,0,0,25.46,0,131.00,34.00,0
79,1549148400,324,0,0,0,0,132.68,0,13.31,0,0
80,1549150200,324,0,0,0,0,72.17,0,81.71,0,0
81,1549166400,324,152.42,0,0,0,95.11,28.58,17.63,0,0
82,1549168200,324,53.74,0,0,69.30,40.50,55.43,0.62,112.00,0
83,1549170000,324,17.50,0,0,1.00,100.00,109.15,0,0,0
84,1549171800,324,39.08,0,0,51.62,160.01,36.68,0,0,0
85,1549173600,324,0,0,0,0,80.84,99.00,0,0,0
86,1549175400,324,0,0,5.00,0,48.11,9.91,0,190.00,1.00
87,1549177200,324,0,0,83.14,0,55.82,120.74,0,0,164.54
88,1549179000,324,0,0,80.00,0,98.29,117.33,0,0,188.00
89,1549180800,324,0,0,107.39,0,81.11,108.25,0,0,29.44
90,1549182600,324,0,28.32,55.50,40.31,88.98,64.26,0,29.00,16.50
91,1549184400,324,0,27.58,0,61.00,53.77,59.40,0,0,0
92,1549186200,324,0,155.21,0,50.20,12.36,31.05,0,0,0
93,1549188000,324,0,93.00,0,0,0,1.50,0,0,0
94,1549189800,324,0,60.98,0,0,0,70.41,16.38,130.00,0
95,1549191600,324,0,118.79,0,0,0,12.16,112.27,0,0
96,1549193400,324,0,4.21,0,0,0,13.05,29.12,0,0
97,1549195200,324,0,0,0,0,0,0,95.11,0,0
98,1549197000,324,4.92,0,88.50,120.21,0,0,141.00,141.00,28.50
99,1549198800,324,48.00,0,97.86,88.00,0,0,143.61,0,147.22
100,1549200600,324,21.92,0,21.00,19.09,0,0,114.88,0,70.00
101,1549202400,324,62.35,0,23.38,0,0,0,50.55,0,30.31
102,1549204200,324,48.30,0,36.00,0,0,0,33.06,176.00,93.50
103,1549206000,324,13.00,0,0,0,0,0,0,0,0
104,1549207800,324,19.32,0,0,0,0,0,0,0,0
105,1549209600,324,173.21,0,0,0,0,0,0,0,0
106,1549211400,324,53.74,25.64,0,106.77,0,0,0,124.00,0
107,1549213200,324,3.00,38.89,0,20.00,0,0,0,0,0
108,1549215000,324,25.62,139.51,0,55.15,0,0,0,0,0
109,1549216800,324,0,135.00,0,0,0,0,0,0,0
110,1549218600,324,0,74.83,6.50,0,0,0,0,5.00,78.00
111,1549220400,324,0,103.94,71.88,0,0,0,0,0,110.85
112,1549222200,324,0,60.46,4.00,0,0,0,0,0,87.00
113,1549224000,324,0,0,0.87,0,0,0,0,0,147.22
114,1549225800,324,0,0,17.00,12.02,4.54,0,48.52,41.00,20.50
