id,ts,duration,trp0,trp1,trp2,trp3,trp4,trp5,trp6,trp7,grp
1,1564977600,13.875,100.46,0,0,0,17.12,167.14,102.27,0,0
2,1564979400,13.875,62.93,0,0,80.61,192.60,31.41,7.73,186.00,0
3,1564981200,13.875,36.50,0,0,84.00,55.00,81.14,0,0,0
4,1564983000,13.875,9.58,0,0,57.98,107.66,194.32,0,0,0
5,1564984800,13.875,0,0,0,0,10.46,102.00,0,0,0
6,1564986600,13.875,0,0,7.50,0,147.02,23.79,0,163.00,70.00
7,1564988400,13.875,0,0,111.72,0,33.98,32.84,0,0,72.75
8,1564990200,13.875,0,0,39.00,0,115.26,41.57,0,0,130.00
9,1564992000,13.875,0,0,13.86,0,15.87,21.65,0,0,126.44
10,1564993800,13.875,0,62.38,96.00,43.84,22.25,56.33,0,57.00,60.00
11,1564995600,13.875,0,62.23,0,131.00,15.14,91.22,0,0,0
12,1564997400,13.875,0,72.99,0,20.51,20.34,96.79,0,0,0
13,1564999200,13.875,0,85.00,0,0,0,4.00,0,0,0
14,1565001000,13.875,0,21.25,0,0,0,55.11,48.21,122.00,0
15,1565002800,13.875,0,35.36,0,0,0,11.65,59.37,0,0
16,1565004600,13.875,0,21.05,0,0,0,12.14,50.16,0,0
17,1565006400,13.875,0,0,0,0,0,0,90.35,0,0
18,1565008200,13.875,29.25,0,59.00,71.42,0,0,146.00,42.00,40.00
19,1565010000,13.875,11.50,0,86.60,184.00,0,0,177.85,0,0.87
20,1565011800,13.875,15.56,0,179.00,70.00,0,0,27.51,0,24.00
21,1565013600,13.875,1.73,0,165.41,0,0,0,101.69,0,154.15
22,1565015400,13.875,137.16,0,59.00,0,0,0,39.25,4.00,54.50
23,1565017200,13.875,141.00,0,0,0,0,0,0,0,0
24,1565019000,13.875,124.60,0,0,0,0,0,0,0,0
25,1565020800,13.875,125.57,0,0,0,0,0,0,0,0
26,1565022600,13.875,89.10,45.54,0,103.24,0,0,0,125.00,0
27,1565024400,13.875,69.50,97.58,0,24.00,0,0,0,0,0
28,1565026200,13.875,37.53,110.87,0,86.97,0,0,0,0,0
29,1565028000,13.875,0,112.00,0,0,0,0,0,0,0
30,1565029800,13.875,0,90.54,25.00,0,0,0,0,20.00,87.50
31,1565031600,13.875,0,140.71,69.28,0,0,0,0,0,127.31
32,1565033400,13.875,0,40.56,119.00,0,0,0,0,0,123.00
33,1565035200,13.875,0,0,13.86,0,0,0,0,0,69.28
34,1565037000,13.875,0,0,90.50,7.07,18.62,0,38.32,11.00,40.50
35,1565038800,13.875,0,0,0,37.00,60.88,0,27.63,0,0
36,1565040600,13.875,0,0,0,113.84,61.74,0,105.17,0,0
37,1565042400,13.875,0,0,0,0,48.79,0,65.62,0,0
38,1565044200,13.875,0,0,0,0,86.27,0,186.00,169.00,0
39,1565046000,13.875,0,0,0,0,148.86,0,61.82,0,0
40,1565047800,13.875,0,0,0,0,7.13,0,104.36,0,0
41,1565064000,13.875,171.47,0,0,0,130.29,7.79,92.87,0,0
42,1565065800,13.875,60.10,0,0,107.48,31.61,128.42,9.89,30.00,0
43,1565067600,13.875,15.00,0,0,155.00,192.00,173.87,0,0,0
44,1565069400,13.875,42.45,0,0,106.77,43.46,31.73,0,0,0
45,1565071200,13.875,0,0,0,0,44.70,81.00,0,0,0
46,1565073000,13.875,0,0,7.50,0,159.49,97.16,0,150.00,53.00
47,1565074800,13.875,0,0,2.60,0,123.78,134.26,0,0,79.67
48,1565076600,13.875,0,0,38.00,0,63.64,155.21,0,0,37.00
49,1565078400,13.875,0,0,157.62,0,2.35,112.58,0,0,82.27
50,1565080200,13.875,0,32.53,5.00,112.43,64.92,137.25,0,103.00,24.50
51,1565082000,13.875,0,48.08,0,61.00,29.36,113.14,0,0,0
52,1565083800,13.875,0,60.98,0,80.61,16.27,67.57,0,0,0
53,1565085600,13.875,0,49.00,0,0,0,38.00,0,0,0
54,1565087400,13.875,0,148.74,0,0,0,65.44,19.78,151.00,0
55,1565089200,13.875,0,84.15,0,0,0,48.66,31.15,0,0
56,1565091000,13.875,0,61.99,0,0,0,13.57,6.47,0,0
57,1565092800,13.875,0,0,0,0,0,0,81.79,0,0
58,1565094600,13.875,15.01,0,81.50,2.83,0,0,77.00,160.00,98.00
59,1565096400,13.875,96.00,0,149.82,169.00,0,0,170.24,0,129.90
60,1565098200,13.875,101.12,0,66.00,41.72,0,0,122.97,0,148.00
61,1565100000,13.875,119.51,0,135.10,0,0,0,38.21,0,106.52
62,1565101800,13.875,140.06,0,13.00,0,0,0,41.72,37.00,16.50
63,1565103600,13.875,72.00,0,0,0,0,0,0,0,0
64,1565105400,13.875,90.80,0,0,0,0,0,0,0,0
65,1565107200,13.875,58.02,0,0,0,0,0,0,0,0
66,1565109000,13.875,17.68,47.45,0,7.78,0,0,0,136.00,0
67,1565110800,13.875,1.50,79.90,0,67.00,0,0,0,0,0
68,1565112600,13.875,16.05,89.62,0,38.89,0,0,0,0,0
69,1565114400,13.875,0,58.00,0,0,0,0,0,0,0
70,1565116200,13.875,0,53.59,98.00,0,0,0,0,11.00,51.00
71,1565118000,13.875,0,108.19,121.24,0,0,0,0,0,38.11
72,1565119800,13.875,0,29.85,62.00,0,0,0,0,0,1.00
73,1565121600,13.875,0,0,84.00,0,0,0,0,0,45.03
74,1565123400,13.875,0,0,2.00,7.78,30.66,0,10.51,86.00,66.00
75,1565125200,13.875,0,0,0,112.00,32.45,0,67.60,0,0
76,1565127000,13.875,0,0,0,125.16,13.62,0,26.70,0,0
77,1565128800,13.875,0,0,0,0,85.23,0,123.64,0,0
78,1565130600,13.875,0,0,0,0,28.28,0,7.00,47.00,0
79,1565132400,13.875,0,0,0,0,130.25,0,32.34,0,0
80,1565134200,13.875,0,0,0,0,142.56,0,65.53,0,0
81,1565150400,13.875,88.33,0,0,0,179.75,109.99,99.34,0,0
82,1565152200,13.875,63.64,0,0,28.99,33.58,9.24,55.93,113.00,0
83,1565154000,13.875,73.50,0,0,151.00,125.00,108.18,0,0,0
84,1565155800,13.875,20.45,0,0,74.95,186.67,150.70,0,0,0
85,1565157600,13.875,0,0,0,0,38.04,118.00,0,0,0
86,1565159400,13.875,0,0,21.50,0,89.99,174.49,0,59.00,51.00
87,1565161200,13.875,0,0,66.68,0,112.45,105.29,0,0,19.92
88,1565163000,13.875,0,0,67.00,0,14.85,121.03,0,0,93.00
89,1565164800,13.875,0,0,14.72,0,35.27,157.62,0,0,125.57
