id,ts,duration,trp0,trp1,trp2,trp3,trp4,trp5,trp6,trp7,grp
1,1549166400,325,44.17,0,0,0,68.48,142.03,14.11,0,0
2,1549168200,325,125.16,0,0,33.23,31.61,33.26,5.87,51.00,0
3,1549170000,325,52.00,0,0,110.00,7.00,26.08,0,0,0
4,1549171800,325,45.29,0,0,36.06,87.90,97.16,0,0,0
5,1549173600,325,0,0,0,0,103.67,101.00,0,0,0
6,1549175400,325,0,0,75.00,0,16.93,89.23,0,176.00,62.50
7,1549177200,325,0,0,77.08,0,140.77,81.14,0,0,122.11
8,1549179000,325,0,0,19.00,0,35.36,113.64,0,0,92.00
9,1549180800,325,0,0,119.51,0,70.53,34.64,0,0,119.51
10,1549182600,325,0,70.41,12.00,56.57,61.29,72.20,0,56.00,9.00
11,1549184400,325,0,82.73,0,112.00,39.25,118.09,0,0,0
12,1549186200,325,0,37.88,0,26.87,28.47,58.44,0,0,0
13,1549188000,325,0,189.00,0,0,0,74.50,0,0,0
14,1549189800,325,0,127.50,0,0,0,19.13,32.76,41.00,0
15,1549191600,325,0,3.54,0,0,0,28.99,114.62,0,0
16,1549193400,325,0,34.44,0,0,0,24.41,157.76,0,0
17,1549195200,325,0,0,0,0,0,0,9.51,0,0
18,1549197000,325,44.78,0,46.00,139.30,0,0,85.00,97.00,51.00
19,1549198800,325,8.00,0,170.61,19.00,0,0,178.80,0,166.28
20,1549200600,325,99.70,0,11.00,123.04,0,0,48.54,0,86.00
21,1549202400,325,137.70,0,18.19,0,0,0,80.53,0,26.85
22,1549204200,325,33.81,0,40.50,0,0,0,54.39,181.00,23.00
23,1549206000,325,112.00,0,0,0,0,0,0,0,0
24,1549207800,325,120.74,0,0,0,0,0,0,0,0
25,1549209600,325,43.30,0,0,0,0,0,0,0,0
26,1549211400,325,79.20,58.17,0,99.70,0,0,0,107.00,0
27,1549213200,325,42.50,65.76,0,187.00,0,0,0,0,0
28,1549215000,325,24.07,124.72,0,125.87,0,0,0,0,0
29,1549216800,325,0,147.00,0,0,0,0,0,0,0
30,1549218600,325,0,161.68,38.00,0,0,0,0,74.00,88.00
31,1549220400,325,0,116.67,6.93,0,0,0,0,0,54.56
32,1549222200,325,0,63.91,199.00,0,0,0,0,0,73.00
33,1549224000,325,0,0,116.91,0,0,0,0,0,19.92
34,1549225800,325,0,0,75.00,19.09,26.59,0,2.78,5.00,80.00
35,1549227600,325,0,0,0,197.00,1.24,0,106.39,0,0
36,1549229400,325,0,0,0,61.52,90.80,0,156.95,0,0
37,1549231200,325,0,0,0,0,82.88,0,134.10,0,0
38,1549233000,325,0,0,0,0,50.20,0,25.00,68.00,0
39,1549234800,325,0,0,0,0,46.92,0,56.11,0,0
40,1549236600,325,0,0,0,0,9.80,0,113.26,0,0
41,1549252800,325,72.75,0,0,0,186.41,15.59,97.57,0,0
42,1549254600,325,84.85,0,0,38.18,105.68,47.12,46.04,65.00,0
43,1549256400,325,6.50,0,0,195.00,84.00,83.07,0,0,0
44,1549258200,325,48.92,0,0,72.12,142.23,128.89,0,0,0
45,1549260000,325,0,0,0,0,140.76,128.00,0,0,0
46,1549261800,325,0,0,70.50,0,86.43,16.85,0,111.00,46.50
47,1549263600,325,0,0,140.30,0,134.30,104.32,0,0,162.81
48,1549265400,325,0,0,190.00,0,70.00,121.95,0,0,38.00
49,1549267200,325,0,0,44.17,0,29.98,145.49,0,0,99.59
50,1549269000,325,0,13.39,72.50,11.31,66.74,144.39,0,101.00,80.00
51,1549270800,325,0,0.71,0,52.00,26.27,137.89,0,0,0
52,1549272600,325,0,85.00,0,65.76,7.35,100.45,0,0,0
53,1549274400,325,0,168.00,0,0,0,86.00,0,0,0
54,1549276200,325,0,122.88,0,0,0,66.59,17.92,182.00,0
55,1549278000,325,0,128.69,0,0,0,18.63,75.82,0,0
56,1549279800,325,0,19.90,0,0,0,16.58,126.21,0,0
57,1549281600,325,0,0,0,0,0,0,159.78,0,0
58,1549283400,325,17.60,0,88.00,40.31,0,0,41.00,182.00,61.00
59,1549285200,325,4.00,0,93.53,21.00,0,0,133.15,0,161.95
60,1549287000,325,39.60,0,58.00,140.01,0,0,146.43,0,145.00
61,1549288800,325,84.87,0,23.38,0,0,0,25.86,0,33.77
62,1549290600,325,10.63,0,71.00,0,0,0,39.25,105.00,33.50
63,1549292400,325,132.00,0,0,0,0,0,0,0,0
64,1549294200,325,167.11,0,0,0,0,0,0,0,0
65,1549296000,325,122.11,0,0,0,0,0,0,0,0
66,1549297800,325,62.23,49.37,0,15.56,0,0,0,96.00,0
67,1549299600,325,16.50,77.07,0,144.00,0,0,0,0,0
68,1549301400,325,36.23,65.60,0,101.82,0,0,0,0,0
69,1549303200,325,0,4.00,0,0,0,0,0,0,0
70,1549305000,325,0,35.11,23.00,0,0,0,0,184.00,65.50
71,1549306800,325,0,65.76,116.91,0,0,0,0,0,76.21
72,1549308600,325,0,26.41,36.00,0,0,0,0,0,44.00
73,1549310400,325,0,0,29.44,0,0,0,0,0,5.20
74,1549312200,325,0,0,20.00,4.24,19.24,0,59.33,58.00,12.00
75,1549314000,325,0,0,0,70.00,36.77,0,44.08,0,0
76,1549315800,325,0,0,0,7.07,49.94,0,98.70,0,0
77,1549317600,325,0,0,0,0,15.28,0,49.45,0,0
78,1549319400,325,0,0,0,0,128.69,0,147.00,168.00,0
