id,duration,trp0,trp1,trp2,trp3,trp4,trp5,trp6,trp7,grp
1,26,575.12,"3,049.54",0.00,0.00,0.00,"2,889.08",0.00,0.00,0.00
2,30,0.00,"1,882.43",0.00,29.98,"3,147.90",474.33,"2,754.36",0.00,0.00
3,29,0.00,0.00,441.75,"1,349.00",0.00,"3,061.56",0.00,851.71,0.00
4,24,0.00,"3,124.83",0.00,"2,877.88",0.00,"1,121.14",0.00,"1,286.63",0.00
5,20,"1,937.26",0.00,0.00,0.00,"2,392.40","1,379.86","1,918.22",72.49,"4,018.15"
6,26,"2,996.69","2,974.24","1,893.23","1,438.94","1,448.03",0.00,0.00,253.70,0.00
7,10,"1,331.86","2,861.29","1,861.67",959.29,"1,164.72","3,751.49",737.78,"1,576.58","1,161.87"
8,15,0.00,0.00,0.00,0.00,"2,297.97","1,250.50","2,705.18",0.00,"2,856.27"
9,28,"2,936.15",0.00,"2,398.09",0.00,"2,990.50",0.00,0.00,598.01,726.17
10,22,"2,149.14",0.00,0.00,0.00,0.00,0.00,"2,410.07",126.85,0.00
11,20,0.00,0.00,441.75,0.00,"2,581.28",819.29,0.00,"1,069.17",96.82
12,25,0.00,0.00,"1,199.04",0.00,"1,983.18","2,544.12",0.00,0.00,580.94
13,15,"1,331.86","2,560.11","2,808.29",0.00,"2,990.50",0.00,0.00,"1,413.48","2,856.27"
14,27,151.35,0.00,"1,924.78",0.00,"1,510.99",776.17,"1,918.22",0.00,0.00
15,13,0.00,"3,689.56",0.00,0.00,0.00,"1,509.22",688.59,"1,141.66","4,453.85"
16,29,0.00,0.00,0.00,509.62,440.71,"1,379.86",0.00,308.07,0.00
17,13,"2,754.54",941.22,0.00,149.89,"2,927.54","3,104.68","2,803.55",0.00,0.00
18,18,"2,028.07","2,334.21","1,735.46",0.00,0.00,0.00,"2,901.92","1,395.36",0.00
19,30,"2,542.65",0.00,"2,240.32",0.00,"2,801.63",733.05,"3,934.80",0.00,"3,824.50"
20,24,"2,936.15","2,183.62","3,060.72",0.00,0.00,0.00,0.00,0.00,0.00
21,26,"2,330.76","3,350.73","2,966.06",0.00,0.00,0.00,0.00,0.00,0.00
22,26,"1,816.18","3,350.73",0.00,0.00,"3,021.98","4,096.46","2,459.25",0.00,0.00
23,29,"1,119.98",0.00,0.00,"1,528.87","2,896.07",0.00,98.37,"1,051.05",0.00
24,29,242.16,0.00,883.51,0.00,0.00,"2,285.39",0.00,"1,721.55",0.00
25,23,0.00,0.00,"2,492.75",0.00,"2,927.54",0.00,"1,426.37",0.00,0.00
26,25,"1,695.10",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27,23,0.00,0.00,378.65,"2,398.23",0.00,0.00,"4,623.39","1,322.87",0.00
28,14,"1,119.98",0.00,0.00,0.00,724.02,"2,673.48",0.00,"1,504.09",0.00
29,27,0.00,0.00,"1,798.57","2,038.50",0.00,"3,492.77","2,606.81",54.36,"1,888.04"
30,16,"2,239.95",0.00,0.00,0.00,188.87,0.00,295.11,235.58,0.00
31,18,"2,330.76","2,861.29",0.00,0.00,"1,101.76","1,379.86","3,738.06",0.00,0.00
32,12,0.00,0.00,0.00,239.82,0.00,0.00,0.00,0.00,0.00
33,27,"2,905.89",0.00,0.00,"2,218.36",0.00,905.53,0.00,"1,268.51",387.29
34,12,635.66,0.00,0.00,"2,518.14","1,479.51",0.00,"3,885.62",0.00,"1,258.70"
35,21,998.90,0.00,"1,041.28",0.00,"2,235.01","3,104.68",0.00,"1,304.75","1,016.64"
36,23,0.00,0.00,"2,524.30","2,398.23","1,920.22",0.00,442.67,181.22,0.00
37,26,"1,755.64",37.65,"2,334.98",0.00,629.58,0.00,0.00,"1,576.58","4,647.49"
38,24,0.00,"1,204.76",0.00,"1,678.76",0.00,"1,250.50",0.00,"1,812.16","3,485.62"
39,10,0.00,"1,054.16",189.32,749.45,"1,259.16",646.81,0.00,"1,159.78","1,645.99"
40,20,"1,513.48",0.00,"1,072.83","1,289.05",0.00,0.00,"1,180.44","1,014.81",0.00
41,22,575.12,"2,296.57",0.00,0.00,"2,203.53",0.00,0.00,0.00,0.00
42,30,"2,784.81","1,242.40",0.00,0.00,"1,510.99",0.00,"4,180.73","1,413.48","1,984.87"
43,16,0.00,0.00,0.00,719.47,"3,116.42","1,767.94",786.96,"1,340.99",0.00
44,21,817.28,0.00,0.00,0.00,0.00,0.00,147.56,0.00,0.00
45,26,"1,695.10","3,576.62",157.77,0.00,0.00,0.00,"3,442.95",0.00,0.00
46,13,0.00,"2,898.94",0.00,0.00,0.00,0.00,0.00,0.00,"1,258.70"
47,14,605.39,"3,011.89","2,618.97",0.00,"2,486.84",0.00,836.15,0.00,0.00
48,25,"1,150.25","3,576.62","1,009.72","2,698.01","2,770.15","2,500.99",0.00,0.00,0.00
49,13,60.54,"3,162.48",0.00,"2,338.27","1,573.95",0.00,196.74,362.43,0.00
50,16,"3,026.96",0.00,631.08,"1,349.00","2,959.02",0.00,0.00,"1,540.33","1,065.05"
51,14,"1,816.18",0.00,0.00,"1,558.85",0.00,"1,854.19",0.00,0.00,0.00
52,28,0.00,0.00,0.00,"1,259.07","1,951.70",0.00,"2,311.70",344.31,0.00
53,18,"2,058.34",0.00,"1,924.78",0.00,"2,172.05",0.00,0.00,670.50,"2,130.10"
54,24,151.35,"1,769.48",0.00,"2,638.05","2,990.50",0.00,0.00,0.00,"4,550.67"
55,18,"2,149.14","1,694.19",0.00,"2,787.94","2,172.05",0.00,"2,655.99","1,576.58",0.00
56,17,332.97,0.00,"2,934.50",689.49,"2,581.28",0.00,0.00,960.44,0.00
57,18,635.66,564.73,0.00,"2,038.50","2,203.53",0.00,"1,328.00",0.00,0.00
58,14,0.00,"3,049.54",631.08,"1,139.16","1,731.34","3,579.01",0.00,0.00,"2,614.22"
59,26,"1,331.86","1,694.19","1,356.81","2,338.27",0.00,0.00,0.00,706.74,0.00
60,23,"2,028.07","1,355.35",252.43,"2,308.30","1,983.18",172.48,196.74,0.00,774.58
61,12,0.00,0.00,0.00,0.00,"3,084.94","1,466.10",0.00,0.00,"2,517.39"
62,23,0.00,0.00,0.00,0.00,0.00,"2,242.27","4,279.10",0.00,0.00
63,12,423.77,0.00,536.41,0.00,881.41,"3,147.80",0.00,0.00,"3,776.09"
64,30,635.66,0.00,"3,155.38",0.00,0.00,86.24,786.96,0.00,"3,969.74"
65,19,0.00,0.00,0.00,0.00,0.00,0.00,"3,688.88",0.00,0.00
66,30,454.04,"1,995.38",0.00,"2,727.99",94.44,0.00,"3,787.25",634.25,0.00
67,17,544.85,0.00,"1,167.49","1,858.63",0.00,0.00,"1,524.74",797.35,484.11
68,12,211.89,"1,618.89","1,767.01",0.00,"1,983.18",0.00,"2,262.51",0.00,0.00
69,20,"1,180.52","1,505.94","3,092.27",0.00,755.50,0.00,836.15,0.00,0.00
70,23,0.00,"3,538.97","2,524.30",899.34,"1,731.34","3,708.37",0.00,0.00,0.00
71,26,726.47,0.00,0.00,0.00,0.00,"2,199.15",0.00,"1,467.85",0.00
72,13,0.00,"2,258.92",94.66,0.00,975.85,"1,638.58","4,180.73",108.73,484.11
73,22,0.00,0.00,0.00,"1,858.63",0.00,0.00,0.00,0.00,"2,275.34"
74,30,"2,179.41",0.00,0.00,689.49,912.89,0.00,0.00,416.80,871.41
75,19,0.00,"2,635.40","1,703.91",959.29,"1,668.39",0.00,0.00,"1,159.78",0.00
76,12,0.00,"1,995.38",0.00,299.78,0.00,0.00,"4,131.54",0.00,"4,357.03"
77,20,0.00,"2,748.35","2,839.84","1,199.11",503.66,0.00,0.00,126.85,0.00
78,23,0.00,941.22,94.66,"1,648.78",472.18,"4,225.82",0.00,0.00,"2,614.22"
79,29,60.54,828.27,883.51,0.00,0.00,0.00,0.00,0.00,0.00
80,29,90.81,0.00,"1,419.92","1,319.03","1,731.34",0.00,"4,131.54",0.00,0.00
81,22,423.77,0.00,0.00,"2,068.47","2,455.36",0.00,0.00,0.00,0.00
82,11,0.00,"2,597.75",0.00,0.00,"3,116.42","4,225.82",0.00,"1,685.30",0.00
83,23,"2,905.89",0.00,"1,293.71",0.00,0.00,0.00,0.00,0.00,532.53
84,24,0.00,0.00,"1,893.23",449.67,"1,227.68",0.00,0.00,0.00,"4,018.15"
85,14,0.00,0.00,757.29,"2,847.90","1,951.70",0.00,0.00,308.07,0.00
86,17,756.74,0.00,"2,082.55","2,578.10","1,070.29","2,457.87","4,180.73",0.00,"1,694.40"
87,18,0.00,"2,033.03",0.00,0.00,0.00,"2,802.84","3,738.06",706.74,"2,323.75"
88,16,454.04,0.00,410.20,359.73,0.00,0.00,"2,557.62",181.22,0.00
89,11,"1,967.53",0.00,0.00,0.00,"3,021.98",0.00,"3,344.58",0.00,"3,388.80"
90,20,0.00,903.57,283.98,0.00,0.00,0.00,"2,951.10",453.04,0.00
91,16,"1,634.56",0.00,"2,966.06","2,967.81","1,322.12",0.00,"3,541.32",887.96,"3,437.21"
92,11,"2,875.62",0.00,31.55,0.00,"2,423.88","2,845.96",0.00,0.00,"3,146.74"
93,27,0.00,0.00,0.00,"1,289.05","1,825.78",0.00,0.00,"1,721.55","1,597.58"
94,17,0.00,677.68,0.00,"1,049.23",0.00,0.00,0.00,0.00,0.00
95,24,665.93,0.00,"2,303.43",359.73,0.00,"3,406.53","3,246.21",326.19,"2,904.68"
96,16,"1,180.52",0.00,978.17,0.00,0.00,"2,975.32",0.00,54.36,"4,550.67"
97,12,0.00,"2,522.46",0.00,0.00,0.00,0.00,"3,787.25",0.00,0.00
98,28,0.00,0.00,"1,135.94","2,638.05","1,133.24",0.00,0.00,0.00,"2,468.98"
99,22,"2,966.42",0.00,"1,041.28","2,997.79",786.97,819.29,"3,098.66",0.00,0.00
100,25,"1,967.53",0.00,"2,808.29","1,918.58","1,573.95",0.00,"3,147.84","1,141.66","1,452.34"
101,19,"1,725.37","1,543.59",0.00,"1,858.63",0.00,0.00,0.00,"1,775.91",338.88
102,22,877.82,0.00,"2,745.18",0.00,0.00,0.00,590.22,108.73,0.00
103,26,0.00,0.00,"2,145.66","1,978.54","1,385.07",0.00,"3,049.47",0.00,0.00
104,14,211.89,0.00,"2,114.10","1,888.61",220.35,0.00,0.00,0.00,0.00
105,29,0.00,0.00,"2,303.43","2,937.83",0.00,0.00,0.00,0.00,0.00
106,17,"1,725.37",0.00,0.00,"1,049.23",0.00,0.00,"2,262.51",289.94,0.00
107,16,"2,300.49",150.59,"1,419.92",0.00,944.37,"2,026.67",0.00,"1,703.43",435.70
108,25,0.00,715.32,"2,177.21",0.00,0.00,0.00,"4,820.14",0.00,"2,081.69"
109,18,0.00,"2,145.97","2,208.77",59.96,"1,322.12","1,121.14","2,852.73",579.89,0.00
110,15,"2,724.27",0.00,"2,082.55",0.00,"1,542.47",0.00,0.00,0.00,0.00
111,26,0.00,"2,484.81","1,640.80","1,618.80","1,636.91",43.12,0.00,"1,703.43",96.82
112,14,302.70,715.32,599.52,0.00,566.62,431.21,0.00,0.00,0.00
113,18,665.93,"1,393.00",0.00,59.96,0.00,0.00,0.00,"1,812.16",0.00
114,20,0.00,0.00,662.63,"1,888.61",377.75,733.05,"1,328.00",0.00,0.00
115,30,0.00,0.00,536.41,"1,798.67",0.00,0.00,0.00,"1,431.60",0.00
116,11,817.28,0.00,0.00,"1,199.11","2,581.28","2,371.63",0.00,0.00,871.41
117,27,0.00,0.00,725.74,0.00,"1,479.51",0.00,0.00,0.00,0.00
118,23,787.01,0.00,"2,776.73",0.00,31.48,0.00,"3,541.32",0.00,"3,340.39"
119,26,60.54,0.00,0.00,659.51,944.37,"2,328.51",0.00,0.00,0.00
120,28,"2,754.54",0.00,"2,303.43","2,098.45",0.00,"1,207.38","3,000.29",0.00,"3,001.51"
121,28,0.00,"2,145.97",851.95,"2,038.50",0.00,689.93,"1,328.00","1,540.33",0.00
122,19,0.00,"2,371.86","1,230.60","2,098.45",0.00,0.00,245.93,0.00,0.00
123,16,0.00,"1,355.35",0.00,0.00,0.00,"3,967.10",0.00,0.00,0.00
124,11,0.00,0.00,0.00,659.51,0.00,"2,587.24",0.00,598.01,0.00
125,18,60.54,0.00,0.00,0.00,0.00,"3,104.68","1,032.89",36.24,"1,307.11"
126,11,30.27,0.00,0.00,0.00,0.00,"3,147.80","4,623.39",851.71,"2,275.34"
127,21,363.24,"1,393.00",0.00,"2,727.99",0.00,0.00,"3,885.62",688.62,0.00
128,25,0.00,"1,317.70","2,776.73",0.00,"2,109.09","2,802.84",836.15,"1,268.51",919.82
129,29,787.01,"1,468.30",31.55,0.00,0.00,0.00,0.00,0.00,"2,323.75"
130,15,998.90,150.59,"1,956.34",0.00,314.79,"3,967.10",0.00,906.08,0.00
131,24,0.00,0.00,0.00,"2,967.81",0.00,"3,104.68","2,754.36",326.19,0.00
132,22,908.09,"2,974.24",0.00,0.00,503.66,"1,422.98",0.00,887.96,0.00
133,25,"1,271.32",0.00,"3,123.83",239.82,0.00,0.00,0.00,0.00,0.00
134,24,0.00,"2,484.81","1,672.35",0.00,"2,392.40",0.00,0.00,0.00,"2,614.22"
135,18,0.00,0.00,0.00,0.00,0.00,0.00,"1,278.81",833.59,"4,550.67"
136,30,0.00,"2,898.94",31.55,"2,578.10","1,070.29",733.05,0.00,"1,540.33",0.00
137,16,0.00,"3,689.56",0.00,"1,528.87",251.83,0.00,"1,573.92",960.44,"2,904.68"
138,28,0.00,"1,204.76",0.00,"2,368.25",0.00,"2,802.84",0.00,688.62,0.00
